"Serial number","Northern Caves Area","Injection point","Injection point detail","NGRI","Detection point","Detection point detail","NGRD","Tracer","Quantity","Detection method","Time","Distance","Average velocity","Depth","Injection Date","People ","Reference or source","Notes"
210,"Dentdale and Garsdale","Deepdale Beck Sink",,"SD718864","Not detected at Barth Bridge Rising 1 and 2 or at The Keld risings 1,2,3",,"","Not known","0.5kg","Not known",,,,,31/12/1983,"Andy Hall",,
211,"Dentdale and Garsdale","Sink in small stream 200m NW of Howgill Cave",,"SD7140985997","Keld Risings 1, left hand inlet in entrance sries of Howgill Cave","Negative to Keld Risings 2 and 3","SD71318666","OBA","0.5l litre","Not known","6 days, 34 days",,,,29/10/2019,"Andy Hall",,
212,"Fountains Fell","Stream sink",,"SD851704","Echo Pot","small chamber above 2nd pitch","SD851703","Fluorescein",,"Activated Charcoal",,,,,28/02/2016,,"Matthews. D. and Campion, G. 2017. Echo Pot. Yorkshire Ramblers Club Journal 13(23)",
213,"Fountains Fell","Gingling Hole",,"SD855701","Brants Gill Head",,"SD812729","Fluorescein","4lb",,"3 days",,,,05/10/1950,,"Yorkshire Ramblers Club Journal 1954 8(27) cave exploration",
214,"Newby Moss","Long Kin West Pot",,"SD731724","Moses Well",,"SD751702","Fluorescein","2lb",,"1 day",,,,08/10/1950,,"Yorkshire Ramblers Club Journal 1954 8(27) cave exploration",
215,"Leck Fell","Rumbling Beck Cave",,"SD671791","Rumbling Hole",,"SD671791","Fluorescein",,"Visual","5 mins",,,,01/12/1966,,"Brook, D. and Crabtree, H. 1969. University of Leeds Speleological Association Explorations Journal p3",
216,"Leck Fell","Rumbling Beck Cave",,"SD671791","Lost Johns Cave","Rumbling Hole Inlet","SD670786","Fluorescein",,"Visual","2 hours",,,,01/12/1966,,"Brook, D. and Crabtree, H. 1969. University of Leeds Speleological Association Explorations Journal p3",
217,"Marble Steps","Marble Steps Pot","Surface stream","SD680771","Marble Steps Pot","Branch Aven","SD680771","Fluorescein","2 oz","Visual",,,,,,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p8",
218,"Marble Steps","Marble Steps Pot","Main Chamber","SD680771","Keld Head",,"SD696766",,,,,,,,,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p8",
219,"West Kingsdale","Simpsons Cave",,"SD696779","Simpsons Pot","Top of Five Steps","SD696779",,,,,,,,,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p9",
220,"West Kingsdale","Rowten Pot",,"SD698780","Kingsdale Master Cave",,"SD698774","Fluorescein","1.5 oz","Visual",,,,,"1966",,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p12",
221,"Chapel-le-Dale","P102",,"SD736754","Black Shiver Pot","Streamway beyond crawl","SD737754","Fluorescein","3 oz","Visual",,,,,06/04/1967,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p26",
222,"Chapel-le-Dale","Green Ridge Caves",,"SD735752","Black Shiver Pot","Second pitch (Blood Pot)","SD737754","Rhodamine B","2 oz","Visual",,,,,06/04/1967,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p26",
223,"Chapel-le-Dale","P102",,"SD736754","Gods Bridge Risings",,"SD732764","Fluorescein","2 lb","Detectors",,,,,14/05/1967,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p27","Major flood pulse"
224,"Chapel-le-Dale","P93A",,"SD780756","Barghs Pot",,"SD751768",,,,,,,,01/08/1966,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p33",
225,"Chapel-le-Dale","Lower Barghs Pot",,"SD751768","Southerscales Pot","Inlet half way along Millipede Crawl","SD750768","Polar red B","1 oz","Visual","30 minutes",,,,01/08/1966,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p36",
226,"Chapel-le-Dale","P93",,"SD751768","S106A",,"SD747743","Fluorescein","3 oz","Visual","10 hours",,,,,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p38",
227,"Park Fell","P83",,"SD753775","Clints Cave (P84)",,"SD753779","Fluorescein","Not known","Visual","35 minutes",,,,1966,"ULSA PMCI","Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p38",
228,"Park Fell","Bog Hole",,"SD752774","S105",,"SD753775","Fluorescein",,"Visual","1 hour",,,,,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal p38",
229,"Park Fell","Clints Cave (P84)",,"SD753779","P84a (Waterhole Rising)",,"SD753779",,,"Visual",,,,,,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal:40",
230,"Park Fell","Clints Cave (P84)",,"SD753779","Eller Keld (S106)",,"SD747743",,,"Visual","3.5 hours",,,,,,"Brook, D. and Crabtree, H. 1969. ULSA Explorations Journal:40",
231,"Dentdale and Garsdale","Dockle Sike Sink (Hardraw Sink)",,"SD72058423","Nun House Rising",,"SD71678528","Photine","400ml","Cotton wool","Not known","1.16km",,"35m",28/11/2019,"Hugh St Lawrence",,"Good positive"
232,"Dentdale and Garsdale","Smorthwaite Gill",,"SD7107686339","Not detected",,,"Not known","Not known","Not known","Not known",,,,28/11/2019,"Hugh St Lawrence",,"Negative at all of The Keld risings, not a trace"
233,"Dentdale and Garsdale","Smorthwaite Gill",,"SD7107686339","Barth Bridge Rising",,"SD69568786","Photine","400ml","Cotton wool","3 days",,,"72m",17/12/2019,"Hugh St Lawrence",,"Both detectors positive at Barth Bridge. Detectors at The Keld negative depite being downstream of all seven of The Keld risings"
234,"Dentdale and Garsdale","Barn Sink",,"SD71528535","The Kelds (risings B and C)","surface rising","SD71228678","Photine","500ml","Cotton wool",,"1500m",,"142m",03/07/2020,"Hugh St Lawrence/AH",,"Feint positives"
235,"Scales Moor","Scales Moor Pot No.1",,"SD715768","Gods Bridge Negative",,"SD732764","OBA powder","Not known","Not detected",,,,,01/06/1998,,"Scott, R. 2002. Scales Moor Pot 1. Craven Pothole Club Record 65:14-16",
236,"Scales Moor","Scales Moor Pot No.1",,"SD715768","Ullet Gill Negative",,"SD723763","OBA powder","Not known","Not detected",,,,,01/06/1998,,"Scott, R. 2002. Scales Moor Pot 1. Craven Pothole Club Record 65:14-16",
237,"Scales Moor","Scales Moor Pot No.1",,"SD715768","Illusion Pot Negative",,"SD700762","OBA powder","Not known","Not detected",,,,,01/06/1998,,"Scott, R. 2002. Scales Moor Pot 1. Craven Pothole Club Record 65:14-16",
238,"Scales Moor","Scales Moor Pot No.1",,"SD715768","Keld Head Negative",,"SD696766","OBA powder","Not known","Not detected",,,,,01/06/1998,,"Scott, R. 2002. Scales Moor Pot 1. Craven Pothole Club Record 65:14-16",
239,"Scales Moor","Scales Moor Pot No.1",,"SD715768","Dry Gill Negative",,"SD718759","OBA powder","Not known","Not detected",,,,,01/06/1998,,"Scott, R. 2002. Scales Moor Pot 1. Craven Pothole Club Record 65:14-16",
240,"Scales Moor","Scales Moor Pot No.1",,"SD715768","Kingsdale Master Cave Rowten Sump Negative",,"SD698780","OBA powder","Not known","Not detected",,,,,01/06/1998,,"Scott, R. 2002. Scales Moor Pot 1. Craven Pothole Club Record 65:14-16",
241,"Scales Moor","Scales Moor Pot No.1",,"SD715768","Kingsdale Master Cave Mud River Series Negative",,"SD698780","OBA powder","Not known","Not detected",,,,,01/06/1998,,"Scott, R. 2002. Scales Moor Pot 1. Craven Pothole Club Record 65:14-16",
242,"Scales Moor","Scales Moor Pot No.1",,"SD715768","Hurtle Pot Negative",,"SD738773","OBA powder","Not known","Not detected",,,,,01/06/1998,,"Scott, R. 2002. Scales Moor Pot 1. Craven Pothole Club Record 65:14-16",
243,"Scales Moor","Scales Moor Pot No.1",,"SD715768","Dale Barn Cave Sump 1 Detectors lost",,"SD711755","OBA powder","Not known","Not detected",,,,,01/06/1998,,"Scott, R. 2002. Scales Moor Pot 1. Craven Pothole Club Record 65:14-16","Dale Barn Cave detector lost"
244,"Gaping Gill","Grange Rigg sink in beck 10 m upstream of entrance",,"SD755727","Not detected ",,,"Fluorescein","Not known","Not detected",,,,,01/08/1999,,"Cordingley, J. 2002 Grange Rigg.  Craven Pothole Club Record 65:8-10","Not seen in Grange Rigg anywhere above 1st pitch"
245,"Dentdale and Garsdale","Mill Beck Sink Cave",,"SD701869","The Kelds Negative",,"SD713866","Photine","Not known","Not detected",,,,,1993,,"Tharrat, A. and Monico, P. 2015. Northern Pennine Club  Journal 2015:8-42",
246,"Dentdale and Garsdale","Mill Beck Sink Cave",,"SD701869","Various points in River Dee Negative",,,,,,,,,,,,,
247,"Leck Fell","Shep Pot",,"SD6706478046","Curry Inlet Notts Pot II",,,"Photine CU","40g","Cotton wool in nylon","<25 hours",">340m","23m/h",,09/02/2013,"Ian Peachey and others","Peachey, I. and Koziol, K. 2015. An optical brightening agent dye trace of Shep Pot. Leck Fell, Lancashire, UK. Cave and Karst Science 42:17-19","Detectors at Dome Inlet, Inlet 7, upstream of Curry Inlet (all Notts II) and Boxhead Pot all negative. Other detectors downstream of Curry Inlet positive, Moderate flow conditions"
248,"Ease Gill","Link Pot","The Ramp","SD66888031","Link Pot","Streamway at end of Cobble Inlet",,"Fluorescein","Not known","Visual","Not known",,,,1979,"Northern Pennine Club","Pybus, W. 1979. Description of Link Pot. Northern Pennine Club Journal 1979:26-29",
249,"","Sink below Ponds Wood",,"SD633805","Casterton Village Rising",,"SD625799","Leucophor","0.5 kg","Detectors","6 days",,,,"25/03/1984-31/03/84","Andy Hall",,"Two detectors, both strong positive"
250,"Dentdale and Garsdale","Stone Rigg Cave",,"SD68228661","Gawthrop Resurgence (Haycote Rising), Lower Stone Rigg Cave",,"SD69118737","Leucophor","Not known","Not known","7 days",,,,"17/09/1983-24/09/1983","Andy Hall",,"Barth Bridge Rising in Dentdale Negative"
251,"Ease Gill","Sink high up on Fell above Bull Pot Farm ",,"SD672815","Rising in Aygill Beck ",,"SD669819 ","Dye","Not known","Detectors","6 days",,,,"15/05/1983-21/05/1983","Andy Hall",,"Leck Beck Head Negative, Bull Pot Farm stream Negative"
252,"Stump Cross","Skyreholme Beck Sink",,"SE069621","West Side Springs 1 and 2",,"SE069617","Rhodamine WT","6.9g","Fluocapteurs","27 hours (break through)","1.78 km","32 m hour",,10/06/2008,,"Rollinson, J. 2008. A quantitative tracer-test investigaton of the Karstified Carboniferous Limestone aquifer at Trollers Gill, North Yorkshire. MSc thesis School of Earth and Environment, University of Leeds.",
253,"Stump Cross","Spar Pot",,"SE065615","Not recovered",,,"OBA","20 g","Fluocapteurs",,,,,18/06/2008,,"Rollinson, J. 2008. A quantitative tracer-test investigaton of the Karstified Carboniferous Limestone aquifer at Trollers Gill, North Yorkshire. MSc thesis School of Earth and Environment, University of Leeds.",
254,"Stump Cross","Hell Hole",,"SE065622","west side springs 1,2 and 3",,"SE069617","Fluorescein","12 g","Fluocapteurs",,,,,16/06/2008,,"Rollinson, J. 2008. A quantitative tracer-test investigaton of the Karstified Carboniferous Limestone aquifer at Trollers Gill, North Yorkshire. MSc thesis School of Earth and Environment, University of Leeds.",
255,"Stump Cross","Hell Hole",,"SE065622","West Side Springs 1 and 2",,"SE069617","Fluorescein","100 g","Fluocapteurs","25 hours (break through)","1.82 km","41 m hour",,01/07/2008,,"Rollinson, J. 2008. A quantitative tracer-test investigaton of the Karstified Carboniferous Limestone aquifer at Trollers Gill, North Yorkshire. MSc thesis School of Earth and Environment, University of Leeds.",
256,"Stump Cross","Skyreholme Beck Sink",,"SE069621","West Side Springs 1,2 and 3",,"SE069617","Rhodamine WT","120 g","Fluocapteurs","17 hpurs (break through)","1.78 km","76 m hour",,01/07/2008,,"Rollinson, J. 2008. A quantitative tracer-test investigaton of the Karstified Carboniferous Limestone aquifer at Trollers Gill, North Yorkshire. MSc thesis School of Earth and Environment, University of Leeds.",
257,"East Kingsdale","Brown Hill Pot",,"SD71327846","King Pot Main Drain upstream sump",,,,,,,,,,03/06/1905,,"Limbert, D. 1985. The saga of Brown Hill Pot.The Caver - Journal of the Northern Cave Club:3-7",
258,"White Scar","Large shakehole next to Quaking Pot",,"SD731740","White Scar Cave resurgence",,"SD712745","Fluorescein","500 g",,,,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
259,"White Scar","Large shakehole next to Quaking Pot",,"SD731740","White Scar Cave resurgence","Phreatic Inlet","SD712745",,,,"50-60 hours",,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
260,"White Scar","Large shakehole next to Quaking Pot",,"SD731740","White Scar Cave Negative","Sleepwalker inlet ",,,,,,,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
261,"White Scar","Large shakehole next to Quaking Pot",,"SD731740","White Scar Cave Negative","Moonmilk Inlet ",,,,,,,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
262,"White Scar","Quaking Pot",,"SD731740","White Scar Cave resurgence",,"SD712745",,,,"Within 10 days",,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
263,"White Scar","Rantry Hole",,"SD722733","Skirwith Cave",,"SD709738","Fluorescein","250 g",,"Within 24 hours",,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
264,"White Scar","Boggarts Roaring Holes",,"SD728738","Skirwith Cave",,"SD709738",,,,"Within 49 hours but still appearing after  6 months",,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
265,"White Scar","Boggarts Roaring Holes",,"SD728738","White Scar Cave Negative",,"SD712745",,,,,,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
266,"White Scar","Red Gait Pot",,"SD728737","White Scar Cave resurgence",,"SD712745","Fluoroscein","Not known","Not known","Within 24 hours",,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
267,"White Scar","Loose Pot",,"SD728732","White Scar Cave resurgence",,"SD712745",,,,"26 hours",,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
268,"White Scar","Lumphammer Hole",,"SD728742","White Scar Cave","Phreatic sump","SD712745",,,,,,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
269,"White Scar","Lumphammer Hole",,"SD728742","White Scar Cave","Moonmilk Inlet","SD712745",,,,,,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28","Also deteceted at Moonmilk Inlet but may be contamination from rise in Main Strean level"
270,"White Scar","Resurrection Hole",,"SD731738","White Scar Cave","Phreatic sump","SD712745",,,,,,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
271,"White Scar","Resurrection Hole",,"SD731738","White Scar Cave","Moonmilk Inlet","SD712745",,,,,,,,,,"Malley, D. 1985. Lead Mines Moss ramblings. The Caver - Journal of the Northern Cave Club:25-28",
272,"East Kingsdale","Growling Hole",,"SD71257749","Keld Head",,"SD69587656","Fluorescein","500 g",,"Within 2 days",,,,,,"Whitaker, T.M. 1985. An update on the hydrology of Kingsadale. The Caver - Journal of the Northern Cave Club:64-72",
273,"East Kingsdale","Growling Hole",,"SD71257749","King Pot 2 inlet sump",,,"Fluorescein","500 g",,"Within 12 days",,,,,,"Whitaker, T.M. 1985. An update on the hydrology of Kingsadale. The Caver - Journal of the Northern Cave Club:64-72",
274,"East Kingsdale","Broken Finger Pot surface shakehole",,"SD71057731","Keld Head",,"SD69587656","Fluorescein","300 g",,"Within 48 hours",,,,,,"Whitaker, T.M. 1985. An update on the hydrology of Kingsadale. The Caver - Journal of the Northern Cave Club:64-72",
275,"East Kingsdale","Broken Finger Pot surface shakehole",,"SD71057731","Ullet Gill",,"SD72357631","Fluorescein","300 g",,"3-4 weeks",,,,,,"Whitaker, T.M. 1985. An update on the hydrology of Kingsadale. The Caver - Journal of the Northern Cave Club:64-72",
276,"East Kingsdale","Broken Finger Pot surface shakehole",,"SD71057731","Dry Gill stream",,"SD71897596","Fluorescein","300 g",,"3-4 weeks",,,,,,"Whitaker, T.M. 1985. An update on the hydrology of Kingsadale. The Caver - Journal of the Northern Cave Club:64-72",
277,"East Kingsdale","S.S.C. dig, Wakenburgh Hill (Wackenburgh Pot?)",,"","Keld Head Negative",,"SD69587656","Fluorescein","500 g",,,,,,,,"Whitaker, T.M. 1985. An update on the hydrology of Kingsadale. The Caver - Journal of the Northern Cave Club:64-72",
278,"East Kingsdale","S.S.C. dig, Wakenburgh Hill (Wackenburgh Pot?)",,"","Dry Gill Negative",,"SD71897596","Fluorescein","500 g",,,,,,,,"Whitaker, T.M. 1985. An update on the hydrology of Kingsadale. The Caver - Journal of the Northern Cave Club:64-72",
279,"East Kingsdale","S.S.C. dig, Wakenburgh Hill (Wackenburgh Pot?)",,"","Dale Barn Negative","Bridge","SD71087555","Fluorescein","500 g",,,,,,,,"Whitaker, T.M. 1985. An update on the hydrology of Kingsadale. The Caver - Journal of the Northern Cave Club:64-72",
280,"East Kingsdale","S.S.C. dig, Wakenburgh Hill (Wackenburgh Pot?)",,"","Kingsdale Beck Ingleton",,,"Fluorescein","500 g",,"within 13 days",,,,,,"Whitaker, T.M. 1985. An update on the hydrology of Kingsadale. The Caver - Journal of the Northern Cave Club:64-72",
281,"Marble Steps","Rift Pot","Slipstream (Temple of Doom)","SD67907689","Ireby Fell Cavern","East Inlet sump","SD67357732","Not known","Not known","Not known","2 weeks",,,,,,"Nunwick, M. 1988. Rift Pot (Temple of Doom). The Caver - Journal of the Northern Cave Club:18-21",
282,"Marble Steps","Mothering Sunday Pot",,"SD68347677","Large Pot","Tinkle Inlet","SD68227685",,,,,,,,,,"Anon. 1988. Digs and mnor discoveries. The Caver - Journal of the Northern Cave Club:96",
283,"Barbondale","Hazel Sike earth sink",,"SD66598220","Aygill Caverns inlets","streams in cave",,"Photine","400ml","cotton wool",,"450m",,"50m+",03/02/2012,"Hugh St Lawrence",,"Positive to Upstream Cascade and Bypass Inlets, negative to New Year Series"
284,"Barbondale","Ruskin Pot sink  (Brown Gill)",,"SD67498537","Rowell Gill Rising","surface rising","SD67498550","Photine","300ml","cotton wool",,"133m",,"20m",19/01/2023,"Hugh St Lawrence",,"Good positive"
285,"Barbondale","Barkin Gill South high sink",,"SD67018386","Rowell Gill Rising","surface rising","SD67498550","Photine ","500ml","cotton wool",,"1700m",,"65m",08/05/2013,"Hugh St Lawrence",,"Good positive"
286,"Barbondale","Sodall Sink",,"SD66868418","Sype Cave","cave resurgence","SD66878429","Photine","400ml","cotton wool",,"108m",,"9m",24/06/2013,"Hugh St Lawrence",,"Also feint pos. to Hanging Cave rising 230m, 9m depth"
287,"Barbondale","Barkin Beck sink",,"SD67248548","Britannia Cave","cave resurgence","SD67088522","Photine","300ml","cotton wool",,"271m",,"10m",25/08/2013,"Hugh St Lawrence",,"Sink of main beck SW of Beckside Cave, confusing area of sinks and risings!"
288,"Barbondale","High Kiln Sink",,"SD67128444","Brown Gill Foot rising","surface rising","SD67238524","Photine","400ml","cotton wool",,"810m",,"56m",26/01/2014,"Hugh St Lawrence",,"Positive"
289,"Barbondale","High Kiln sink north",,"SD67158452","Brown Gill Source","surface rising","SD67248511","Photine","300ml","cotton wool",,"588m",,"31m",06/02/2014,"Hugh St Lawrence",,"Positive and trace to Brown Gill Foot Rising"
290,"Barbondale","Brown Gill Foot sink",,"SD67408514","Rowell Gill Rising","surface rising","SD67498550","Photine","300ml","cotton wool",,"370m",,"26m",09/02/2014,"Hugh St Lawrence",,"Positive. Sink of Brown Gill Foot above limestone fall with trees, small sink of small gill"
291,"Barbondale","Short Gill Top Sink",,"SD67288466","Brown Gill Source","surface rising","SD67248511","Photine","500ml","cotton wool",,"450m",,"37m",28/07/2014,"Hugh St Lawrence",,"Sink is 50m downstream of prominent waterfall 200m upstream of the limestone gorge"
292,"Barbondale","Hanging Pot",,"SD66858437","Short Gill Cave upstream sump","stream in cave",,"Photine","400ml","cotton wool",,"500m",,"28m",24/01/2016,"Hugh St Lawrence",,"Good positive.  Only one detector placed as test was only to confirm what seemed sef-evident"
293,"Barbondale","Short Gill High Sink",,"SD67048472","Short Gill Rising","surface rising","SD66758465","Photine","500ml","cotton wool",,"300m",,"55m",03/09/2016,"Hugh St Lawrence/BS",,"Positive. Top sink in the Great Scar gorge. Detector in Short Gill Cave upstream sump negative. High water conditions"
294,"Barbondale","Sodoff Pot",,"SD66788420","Short Gill Rising","surface rising","SD66758465","Photine","200ml","cotton wool",,"450m",,"50m",27/10/2020,"Hugh St Lawrence",,"Injection at stream sinking into entrance - very weak dregs of photine barrel, test needs repeating. Negative to Crystal Cave"
295,"Barbondale","Outcrop sinks",,"SD66818431","Short Gill Riising","surface rising","SD66758465","Photine","100ml","cotton wool",,"400m",,"50m",20/12/2020,"Hugh St Lawrence",,"Very feint pisitive at SG Rising, could just be contamination. Negative to SG Cave upstream sump. Solution probably too weak for proper test"
296,"Leck Fell","Perilous Pot",,"SD67127791","Curry Inlet, Notts 2","stream in cave","","Photine","400ml","cotton wool",,"N/A",,"N/A",18/11/2014,"Hugh St Lawrence/TA",,"Detectors also in Daylight Aven and Poppy Passage stream, both negative"
297,"Leck Fell","Poppy Passage, Notts 2",,"","Curry Inlet, Notts 2","stream in cave","","Photine","300ml","cotton wool",,"N/A",,"N/A",02/12/2014,"Hugh St Lawrence/TA",,"In-cave test from one stream outlet to another inlet"
298,"Dentdale and Garsdale","Stone Rigg Cave",,"SD68218659","Gawthrop Resugence Cave","cave resurgence","SD69118737","Photine","?","cotton wool",,"1250m",,"117m",05/04/2015,"Hugh St Lawrence/Andy Hall",,"Positive. Same test is positive to Lower Stone Rigg Cave (Barbondale) 400m to the SW, where it enters a sump and then reverses direction completely to drop down to Gawthrop. Despite the total depth, flow through time was 2-3 days"
299,"Dentdale and Garsdale","Bursock Gill High Sink (Milkchurn Hole)",,"SD71948491","Nun House Rising","surface rising","SD71678527","Photine","300ml","cotton wool",,"450m",,"26m",06/11/2019,"Hugh St Lawrence",,"Very strong positive"
300,"Dentdale and Garsdale","Yellow Gill, top sink",,"SD71088621","Garlic Wood Cave","stream in cave","SD71218644","Photine","300ml","cotton wool",,"276m",,"59m",30/05/2020,"Hugh St Lawrence",,"Strong positive"
301,"Dentdale and Garsdale","High Laithe Gill sink",,"SD68978591","Moon Rising","cave resurgence","SD68748696","Photine","500ml","cotton wool",,"1100m",,"84m",11/04/2015,"Hugh St Lawrence",,"Sink is 60m NW of old sheepfold, 30m upstream of prominent shale bed in true L bank. May be choked up, but was dug out to limestone cleft 2m deep taking all the stream"
302,"Dentdale and Garsdale","Unnamed sink",,"SD68328602","Moon Rising","cave resurgence","SD68748696","Photine","300ml","cotton wool",,"1050m",,"62m",16/05/2015,"Hugh St Lawrence",,"Posiitive. Test repeated 9/8/2015 similar results but some detectors in different locations"
303,"White Scar","Seven points above White Scar Cave",,"SD712745","White Scar Cave","26 percolation inlets to main passage","SD712745","Photine CU, Direct Yellow, Fluorescein, Rhodamine WT","200 g","cotton wool, activated charcoal","within 24 hours",,,,1988,,"Bottrell, S.H. and Atkinson, T.C. 1992. Tracer study of flow and storage in the unsaturaterd zone of a karstic limestone aquifer. Pp207-211 in: Hotzl & Werner (eds).Tracer Hydrology. Balkema, Rotterdam ISBN 90 5410 084 2","To gain qualitative information on flow through times in the unsaturated zone"
304,"West Kingsdale","Yordas Cave",,"SD70557909","Keld Head (via West Kingsdale Master Cave)","Keld Head. See notes","SD69587656","Fluorescein","Several kg","Cotton wool and visual (see notes)","< 7 days",,,,"02/05/1981-09/05/1981","Andy Tharratt plus ULSA",,"Positive in Rowten Passage upstream sump. Visual positive at Thornton Force. Negative in Mud River Series upstream sump"
305,"West Kingsdale","Yordas Cave",,"SD70557909","Keld Head (via West Kingsdale Master Cave)","Keld Head. See notes","SD69587656","Fluorescein","Several kg","Cotton wool and visual (see notes)","< 6 days",,,,"04/10/1981-10/10/1981","Andy Tharratt plus ULSA",,"Positive to Frakes Passage main upstream sump. Negative in Mud River upstream sump"
306,"Malham","Malham Tarn sinks",,"","Aire Head Springs and Malham Cove (see notes)",,,"Not known","Not known","Detectors","29 hours to Aire Head, 53 hours to Malham Cove",,,,"Winter 1991-1992","Paul Monico card index","Cave Diving Group Newsletter 106:20 (1993)","Malham Cove 550m and 570m inlets both positive"
307,"Alum Pot","Long Churn Cave",,"SD773757","Footnaw's Hole and Turn Dub",,"SD791753","Fluorescein","Not known","Probably visual","11 days to Footnaws Hole, 12 days to Turn Dub",,,,05/09/1901,"Paul Monico card index","Craven Pothole Club Journal 3:183 (1964)",
308,"Ease Gill","Aygill Caverns",,"SD663818","Leck Beck Head",,,"Not known","Not known","Not known","Not known",,,,"Not known","Paul Monico card index","Cave Science 6(48):30 (1971)",
309,"Ease Gill","Aygill Caverns",,"SD663818","Bull Pot of the Witches",,,"Not known","Not known","Not known","Not known",,,,"Not known","Paul Monico card index","CUCC 2(1):4; Gritstone Club Journal 1966; RRCPC Journal 5 (1970)",
310,"Alston","Aylburn Mine Cave",,"NY728498","Impenetrable rising on east bank of Alders Gill",,"NY69255145","Fluorescein","0.25kg","Visual","16 hours",,,,18/01/1992,"Paul Monico card index",,"Water conditions average to low. River Tyne turned green and rising found by walking upstream"
311,"Gaping Gill","Ingleborough Cave","The Abyss","SD754710","Not detected",,,"Fluorescein","10 ounces","Not detected",,,,,"August 1966","Paul Monico card index","Cave Research Group Newsletter 102:16 (September 1966)",
312,"Gaping Gill","Ingleborough Cave","The Abyss","SD754710","Ingleborough Cave entrance",,"SD754710","Fluorescein and salt","0.5 ounce dye, 1 lb salt, 2 ounces dye","Titration of the salt","2.5 hours",,,,"August 1966","Paul Monico card index","Cave Research Group Newsletter 102:16 (September 1966)","Dye not detected"
313,"Great Whernside","Benfoot Sink",,"SE007705","Not detected (see notes)",,,"Fluorescein or Rhodamine B","Not known","Not detected","Not detected",,,,11/07/1970,"Paul Monico card index","Dye not seen in Langcliffe Pot during 18 hour trip","ULSA Exploration Journal 2:37 (1989), BSA Journal 6(46):21 (1971)"
314,"Upper Wharfedale","Birks Fell Cave sinks around entrance",,"SD931769","Birks Fell Cave","Several inlet systems",,"Not known","Not known","Not known, probably visual","Not known",,,,"1968/1969","Craven Pothole Club PMCI","Craven Pothole Club Journal 4(4):191 (1970)",
315,"Upper Wharfedale","Birks Fell Cave",,"SD931769","Field drain near bend in River Wharfe",,,"Fluorescein","3 onces","Probably visual","8 hours",,,,"1968","Craven Pothole Club PMCI","Craven Pothole Club Journal 4(2):120 (1968)",
316,"Wild Boar Fell","Black Moss Pot",,"SD724982","Not detected in Lady Blue's. Picked up in River Rawthey",,"","OBA","Not known","Detectors","Not known",,,,26/04/1996,"NPC/CDG PMCI",,"Is there another resurgence in the River Rawthey downstream of Lady Blue's but not known?"
317,"??? Ask PM","Blind Pot",,"","Toadstool Junction via Butterfield's passage",,,"Fluorescein","1 ounce","Not known","1 hour",,,,08/04/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill page 21",
318,"Park Fell","Bog Hole",,"SD752774","S105",,"","Fluoroscein","Not known","Visual","1 hour",,,,"03/1966","ULSA PMCI","ULSA Explorations Journal 1:38 (1969)",
319,"White Scar","Boggarts Roaring Holes",,"SD728738","Skirwith Cave",,"SD709738","Fluorescein","Not known","Not known","Not known",,,,"1985/85?","NCC PMCI","NCC Journal 1985:27","Only positive to Skirwith. Still detectavle 6 months later suggesting fast and a slow flow routes"
